day,week,weekly_theme,main_reading,companion,make_it_real_prompt
25,4,"The church, the Spirit, faith lived out loud",Acts 3-5,Psalms 11,Where is God asking for your trust in something you can't control?
26,4,"The church, the Spirit, faith lived out loud",Acts 6-8,Re-read your favorite verse from this week and sit with it,What habit or mindset is this passage gently challenging?
27,4,"The church, the Spirit, faith lived out loud",Acts 9-11,Psalms 12,How can you carry one verse from today into a real moment this week?
28,4,"The church, the Spirit, faith lived out loud",Acts 12-14,Re-read your favorite verse from this week and sit with it,What does honest prayer about this look like for you today?
29,5,"The church, the Spirit, faith lived out loud",Acts 15-16,Psalms 13,Where have you seen this truth show up in your own story?
30,5,"The church, the Spirit, faith lived out loud",Acts 17-19,Re-read your favorite verse from this week and sit with it,What's the invitation here — and what's holding you back from saying yes?
31,5,"The church, the Spirit, faith lived out loud",Acts 20-22,Psalms 14,"Where in your real, everyday life does today's reading actually touch down?"
32,5,"The church, the Spirit, faith lived out loud",Acts 23-25,Re-read your favorite verse from this week and sit with it,What's one thing God might be inviting you to do differently this week?
33,5,"The church, the Spirit, faith lived out loud",Acts 26-28,Psalms 15,"If a friend who's never read the Bible asked what this means, how would you say it simply?"
34,5,"The church, the Spirit, faith lived out loud",Matthew 1-2,Re-read your favorite verse from this week and sit with it,What does this show you about who God is — and who you are to Him?
35,5,"The church, the Spirit, faith lived out loud",Matthew 3-5,Proverbs 3,Where do you need grace today instead of trying to earn it?
36,6,Jesus the promised King and His kingdom,Matthew 6-8,Re-read your favorite verse from this week and sit with it,"What's one small, doable step you can take today because of what you read?"
37,6,Jesus the promised King and His kingdom,Matthew 9-11,Psalms 16,What feeling or fear does this passage speak to right now?
38,6,Jesus the promised King and His kingdom,Matthew 12-14,Re-read your favorite verse from this week and sit with it,Who in your life needs the encouragement this passage gave you?
39,6,Jesus the promised King and His kingdom,Matthew 15-16,Psalms 17,What would change if you actually believed this today?
40,6,Jesus the promised King and His kingdom,Matthew 17-19,Re-read your favorite verse from this week and sit with it,Where is God asking for your trust in something you can't control?
41,6,Jesus the promised King and His kingdom,Matthew 20-22,Psalms 18,What habit or mindset is this passage gently challenging?
42,6,Jesus the promised King and His kingdom,Matthew 23-25,Re-read your favorite verse from this week and sit with it,How can you carry one verse from today into a real moment this week?
43,7,Jesus for the outsider and overlooked,Matthew 26-27,Psalms 19,What does honest prayer about this look like for you today?
44,7,Jesus for the outsider and overlooked,"Matthew 28, Luke 1-2",Re-read your favorite verse from this week and sit with it,Where have you seen this truth show up in your own story?
45,7,Jesus for the outsider and overlooked,Luke 3-5,Psalms 20,What's the invitation here — and what's holding you back from saying yes?
46,7,Jesus for the outsider and overlooked,Luke 6-8,Re-read your favorite verse from this week and sit with it,"Where in your real, everyday life does today's reading actually touch down?"
47,7,Jesus for the outsider and overlooked,Luke 9-11,Proverbs 4,What's one thing God might be inviting you to do differently this week?
48,7,Jesus for the outsider and overlooked,Luke 12-13,Re-read your favorite verse from this week and sit with it,"If a friend who's never read the Bible asked what this means, how would you say it simply?"
49,7,Jesus for the outsider and overlooked,Luke 14-16,Psalms 21,What does this show you about who God is — and who you are to Him?
50,8,Real faith in a messy community,Luke 17-19,Re-read your favorite verse from this week and sit with it,Where do you need grace today instead of trying to earn it?
51,8,Real faith in a messy community,Luke 20-22,Psalms 22,"What's one small, doable step you can take today because of what you read?"
52,8,Real faith in a messy community,"Luke 23-24, 1 Corinthians 1",Re-read your favorite verse from this week and sit with it,What feeling or fear does this passage speak to right now?
53,8,Real faith in a messy community,1 Corinthians 2-3,Psalms 23,Who in your life needs the encouragement this passage gave you?
54,8,Real faith in a messy community,1 Corinthians 4-6,Re-read your favorite verse from this week and sit with it,What would change if you actually believed this today?
55,8,Real faith in a messy community,1 Corinthians 7-9,Psalms 24,Where is God asking for your trust in something you can't control?
56,8,Real faith in a messy community,1 Corinthians 10-12,Re-read your favorite verse from this week and sit with it,What habit or mindset is this passage gently challenging?
57,9,Strength in weakness,1 Corinthians 13-15,Psalms 25,How can you carry one verse from today into a real moment this week?
58,9,Strength in weakness,"1 Corinthians 16, 2 Corinthians 1",Re-read your favorite verse from this week and sit with it,What does honest prayer about this look like for you today?
59,9,Strength in weakness,2 Corinthians 2-4,Proverbs 5,Where have you seen this truth show up in your own story?
60,9,Strength in weakness,2 Corinthians 5-7,Re-read your favorite verse from this week and sit with it,What's the invitation here — and what's holding you back from saying yes?
61,9,Strength in weakness,2 Corinthians 8-10,Psalms 26,"Where in your real, everyday life does today's reading actually touch down?"
62,9,Strength in weakness,2 Corinthians 11-13,Re-read your favorite verse from this week and sit with it,What's one thing God might be inviting you to do differently this week?
63,9,Strength in weakness,Galatians 1-2,Psalms 27,"If a friend who's never read the Bible asked what this means, how would you say it simply?"
64,10,Christ is enough,Galatians 3-5,Re-read your favorite verse from this week and sit with it,What does this show you about who God is — and who you are to Him?
65,10,Christ is enough,"Galatians 6, Ephesians 1-2",Psalms 28,Where do you need grace today instead of trying to earn it?
66,10,Christ is enough,Ephesians 3-5,Re-read your favorite verse from this week and sit with it,"What's one small, doable step you can take today because of what you read?"
67,10,Christ is enough,"Ephesians 6, Philippians 1",Psalms 29,What feeling or fear does this passage speak to right now?
68,10,Christ is enough,Philippians 2-4,Re-read your favorite verse from this week and sit with it,Who in your life needs the encouragement this passage gave you?
69,10,Christ is enough,Colossians 1-3,Psalms 30,What would change if you actually believed this today?
70,10,Christ is enough,"Colossians 4, 1 Thessalonians 1-2",Re-read your favorite verse from this week and sit with it,Where is God asking for your trust in something you can't control?
71,11,Leading and living with integrity,1 Thessalonians 3-5,Proverbs 6,What habit or mindset is this passage gently challenging?
72,11,Leading and living with integrity,2 Thessalonians 1-2,Re-read your favorite verse from this week and sit with it,How can you carry one verse from today into a real moment this week?
73,11,Leading and living with integrity,"2 Thessalonians 3, 1 Timothy 1-2",Psalms 31,What does honest prayer about this look like for you today?
74,11,Leading and living with integrity,1 Timothy 3-5,Re-read your favorite verse from this week and sit with it,Where have you seen this truth show up in your own story?
75,11,Leading and living with integrity,"1 Timothy 6, 2 Timothy 1-2",Psalms 32,What's the invitation here — and what's holding you back from saying yes?
76,11,Leading and living with integrity,"2 Timothy 3-4, Titus 1",Re-read your favorite verse from this week and sit with it,"Where in your real, everyday life does today's reading actually touch down?"
77,11,Leading and living with integrity,Titus 2-3,Psalms 33,What's one thing God might be inviting you to do differently this week?
78,12,"Jesus, better than anything","Philemon 1, Hebrews 1-2",Re-read your favorite verse from this week and sit with it,"If a friend who's never read the Bible asked what this means, how would you say it simply?"
79,12,"Jesus, better than anything",Hebrews 3-5,Psalms 34,What does this show you about who God is — and who you are to Him?
80,12,"Jesus, better than anything",Hebrews 6-8,Re-read your favorite verse from this week and sit with it,Where do you need grace today instead of trying to earn it?
81,12,"Jesus, better than anything",Hebrews 9-11,Psalms 35,"What's one small, doable step you can take today because of what you read?"
82,12,"Jesus, better than anything",Hebrews 12-13,Re-read your favorite verse from this week and sit with it,What feeling or fear does this passage speak to right now?
83,12,"Jesus, better than anything",James 1-3,Proverbs 7,Who in your life needs the encouragement this passage gave you?
84,12,"Jesus, better than anything","James 4-5, 1 Peter 1",Re-read your favorite verse from this week and sit with it,What would change if you actually believed this today?
85,13,Walking in love and assurance,1 Peter 2-4,Psalms 36,Where is God asking for your trust in something you can't control?
86,13,Walking in love and assurance,"1 Peter 5, 2 Peter 1-2",Re-read your favorite verse from this week and sit with it,What habit or mindset is this passage gently challenging?
87,13,Walking in love and assurance,"2 Peter 3, 1 John 1",Psalms 37,How can you carry one verse from today into a real moment this week?
88,13,Walking in love and assurance,1 John 2-4,Re-read your favorite verse from this week and sit with it,What does honest prayer about this look like for you today?
89,13,Walking in love and assurance,"1 John 5, 2 John 1, 3 John 1",Psalms 38,Where have you seen this truth show up in your own story?
90,13,Walking in love and assurance,"Jude 1, Revelation 1-2",Re-read your favorite verse from this week and sit with it,What's the invitation here — and what's holding you back from saying yes?
91,13,Walking in love and assurance,Revelation 3-4,Psalms 39,"Where in your real, everyday life does today's reading actually touch down?"
92,14,How the story ends — Jesus wins,Revelation 5-7,Re-read your favorite verse from this week and sit with it,What's one thing God might be inviting you to do differently this week?
93,14,How the story ends — Jesus wins,Revelation 8-10,Psalms 40,"If a friend who's never read the Bible asked what this means, how would you say it simply?"
94,14,How the story ends — Jesus wins,Revelation 11-13,Re-read your favorite verse from this week and sit with it,What does this show you about who God is — and who you are to Him?
95,14,How the story ends — Jesus wins,Revelation 14-16,Proverbs 8,Where do you need grace today instead of trying to earn it?
96,14,How the story ends — Jesus wins,Revelation 17-18,Re-read your favorite verse from this week and sit with it,"What's one small, doable step you can take today because of what you read?"
97,14,How the story ends — Jesus wins,Revelation 19-21,Psalms 41,What feeling or fear does this passage speak to right now?
98,14,How the story ends — Jesus wins,"Revelation 22, Genesis 1-2",Re-read your favorite verse from this week and sit with it,Who in your life needs the encouragement this passage gave you?
99,15,"Beginnings: creation, fall, promise",Genesis 3-5,Psalms 42,What would change if you actually believed this today?
100,15,"Beginnings: creation, fall, promise",Genesis 6-8,Re-read your favorite verse from this week and sit with it,Where is God asking for your trust in something you can't control?
101,15,"Beginnings: creation, fall, promise",Genesis 9-10,Psalms 43,What habit or mindset is this passage gently challenging?
102,15,"Beginnings: creation, fall, promise",Genesis 11-13,Re-read your favorite verse from this week and sit with it,How can you carry one verse from today into a real moment this week?
103,15,"Beginnings: creation, fall, promise",Genesis 14-16,Psalms 44,What does honest prayer about this look like for you today?
104,15,"Beginnings: creation, fall, promise",Genesis 17-19,Re-read your favorite verse from this week and sit with it,Where have you seen this truth show up in your own story?
105,15,"Beginnings: creation, fall, promise",Genesis 20-22,Psalms 45,What's the invitation here — and what's holding you back from saying yes?
106,16,"Beginnings: creation, fall, promise",Genesis 23-24,Re-read your favorite verse from this week and sit with it,"Where in your real, everyday life does today's reading actually touch down?"
107,16,"Beginnings: creation, fall, promise",Genesis 25-27,Proverbs 9,What's one thing God might be inviting you to do differently this week?
108,16,"Beginnings: creation, fall, promise",Genesis 28-30,Re-read your favorite verse from this week and sit with it,"If a friend who's never read the Bible asked what this means, how would you say it simply?"
109,16,"Beginnings: creation, fall, promise",Genesis 31-33,Psalms 46,What does this show you about who God is — and who you are to Him?
110,16,"Beginnings: creation, fall, promise",Genesis 34-36,Re-read your favorite verse from this week and sit with it,Where do you need grace today instead of trying to earn it?
111,16,"Beginnings: creation, fall, promise",Genesis 37-38,Psalms 47,"What's one small, doable step you can take today because of what you read?"
112,16,"Beginnings: creation, fall, promise",Genesis 39-41,Re-read your favorite verse from this week and sit with it,What feeling or fear does this passage speak to right now?
113,17,"Beginnings: creation, fall, promise",Genesis 42-44,Psalms 48,Who in your life needs the encouragement this passage gave you?
114,17,"Beginnings: creation, fall, promise",Genesis 45-47,Re-read your favorite verse from this week and sit with it,What would change if you actually believed this today?
115,17,"Beginnings: creation, fall, promise",Genesis 48-49,Psalms 49,Where is God asking for your trust in something you can't control?
116,17,"Beginnings: creation, fall, promise","Genesis 50, Exodus 1-2",Re-read your favorite verse from this week and sit with it,What habit or mindset is this passage gently challenging?
117,17,"Beginnings: creation, fall, promise",Exodus 3-5,Psalms 50,How can you carry one verse from today into a real moment this week?
118,17,"Beginnings: creation, fall, promise",Exodus 6-8,Re-read your favorite verse from this week and sit with it,What does honest prayer about this look like for you today?
119,17,"Beginnings: creation, fall, promise",Exodus 9-11,Proverbs 10,Where have you seen this truth show up in your own story?
120,18,Rescue and a God who delivers,Exodus 12-13,Re-read your favorite verse from this week and sit with it,What's the invitation here — and what's holding you back from saying yes?
121,18,Rescue and a God who delivers,Exodus 14-16,Psalms 51,"Where in your real, everyday life does today's reading actually touch down?"
122,18,Rescue and a God who delivers,Exodus 17-19,Re-read your favorite verse from this week and sit with it,What's one thing God might be inviting you to do differently this week?
123,18,Rescue and a God who delivers,Exodus 20-22,Re-read your favorite verse from this week and sit with it,"If a friend who's never read the Bible asked what this means, how would you say it simply?"
124,18,Rescue and a God who delivers,Exodus 23-25,Psalms 52,What does this show you about who God is — and who you are to Him?
125,18,Rescue and a God who delivers,Exodus 26-27,Re-read your favorite verse from this week and sit with it,Where do you need grace today instead of trying to earn it?
126,18,Rescue and a God who delivers,Exodus 28-30,Psalms 53,"What's one small, doable step you can take today because of what you read?"
127,19,Rescue and a God who delivers,Exodus 31-33,Re-read your favorite verse from this week and sit with it,What feeling or fear does this passage speak to right now?
128,19,Rescue and a God who delivers,Exodus 34-36,Psalms 54,Who in your life needs the encouragement this passage gave you?
129,19,Rescue and a God who delivers,Exodus 37-39,Re-read your favorite verse from this week and sit with it,What would change if you actually believed this today?
130,19,Rescue and a God who delivers,"Exodus 40, Leviticus 1",Psalms 55,Where is God asking for your trust in something you can't control?
131,19,Rescue and a God who delivers,Leviticus 2-4,Re-read your favorite verse from this week and sit with it,What habit or mindset is this passage gently challenging?
132,19,Rescue and a God who delivers,Leviticus 5-7,Proverbs 11,How can you carry one verse from today into a real moment this week?
133,19,Rescue and a God who delivers,Leviticus 8-10,Re-read your favorite verse from this week and sit with it,What does honest prayer about this look like for you today?
134,20,A holy God making a way to be near,Leviticus 11-13,Psalms 56,Where have you seen this truth show up in your own story?
135,20,A holy God making a way to be near,Leviticus 14-15,Re-read your favorite verse from this week and sit with it,What's the invitation here — and what's holding you back from saying yes?
136,20,A holy God making a way to be near,Leviticus 16-18,Psalms 57,"Where in your real, everyday life does today's reading actually touch down?"
137,20,A holy God making a way to be near,Leviticus 19-21,Re-read your favorite verse from this week and sit with it,What's one thing God might be inviting you to do differently this week?
138,20,A holy God making a way to be near,Leviticus 22-24,Psalms 58,"If a friend who's never read the Bible asked what this means, how would you say it simply?"
139,20,A holy God making a way to be near,Leviticus 25-27,Re-read your favorite verse from this week and sit with it,What does this show you about who God is — and who you are to Him?
140,20,A holy God making a way to be near,Numbers 1-2,Psalms 59,Where do you need grace today instead of trying to earn it?
141,21,Trusting God in the wilderness,Numbers 3-5,Re-read your favorite verse from this week and sit with it,"What's one small, doable step you can take today because of what you read?"
142,21,Trusting God in the wilderness,Numbers 6-8,Psalms 60,What feeling or fear does this passage speak to right now?
143,21,Trusting God in the wilderness,Numbers 9-11,Re-read your favorite verse from this week and sit with it,Who in your life needs the encouragement this passage gave you?
144,21,Trusting God in the wilderness,Numbers 12-13,Proverbs 12,What would change if you actually believed this today?
145,21,Trusting God in the wilderness,Numbers 14-16,Re-read your favorite verse from this week and sit with it,Where is God asking for your trust in something you can't control?
146,21,Trusting God in the wilderness,Numbers 17-19,Psalms 61,What habit or mindset is this passage gently challenging?
147,21,Trusting God in the wilderness,Numbers 20-22,Re-read your favorite verse from this week and sit with it,How can you carry one verse from today into a real moment this week?
148,22,Trusting God in the wilderness,Numbers 23-25,Psalms 62,What does honest prayer about this look like for you today?
149,22,Trusting God in the wilderness,Numbers 26-27,Re-read your favorite verse from this week and sit with it,Where have you seen this truth show up in your own story?
150,22,Trusting God in the wilderness,Numbers 28-30,Psalms 63,What's the invitation here — and what's holding you back from saying yes?
151,22,Trusting God in the wilderness,Numbers 31-33,Re-read your favorite verse from this week and sit with it,"Where in your real, everyday life does today's reading actually touch down?"
152,22,Trusting God in the wilderness,Numbers 34-36,Psalms 64,What's one thing God might be inviting you to do differently this week?
153,22,Trusting God in the wilderness,Deuteronomy 1-3,Re-read your favorite verse from this week and sit with it,"If a friend who's never read the Bible asked what this means, how would you say it simply?"
154,22,Trusting God in the wilderness,Deuteronomy 4-5,Psalms 65,What does this show you about who God is — and who you are to Him?
155,23,Remember and choose life,Deuteronomy 6-8,Re-read your favorite verse from this week and sit with it,Where do you need grace today instead of trying to earn it?
156,23,Remember and choose life,Deuteronomy 9-11,Proverbs 13,"What's one small, doable step you can take today because of what you read?"
157,23,Remember and choose life,Deuteronomy 12-14,Re-read your favorite verse from this week and sit with it,What feeling or fear does this passage speak to right now?
158,23,Remember and choose life,Deuteronomy 15-17,Psalms 66,Who in your life needs the encouragement this passage gave you?
159,23,Remember and choose life,Deuteronomy 18-19,Re-read your favorite verse from this week and sit with it,What would change if you actually believed this today?
160,23,Remember and choose life,Deuteronomy 20-22,Psalms 67,Where is God asking for your trust in something you can't control?
161,23,Remember and choose life,Deuteronomy 23-25,Re-read your favorite verse from this week and sit with it,What habit or mindset is this passage gently challenging?
162,24,Remember and choose life,Deuteronomy 26-28,Psalms 68,How can you carry one verse from today into a real moment this week?
163,24,Remember and choose life,Deuteronomy 29-31,Re-read your favorite verse from this week and sit with it,What does honest prayer about this look like for you today?
164,24,Remember and choose life,Deuteronomy 32-33,Psalms 69,Where have you seen this truth show up in your own story?
165,24,Remember and choose life,"Deuteronomy 34, Joshua 1-2",Re-read your favorite verse from this week and sit with it,What's the invitation here — and what's holding you back from saying yes?
166,24,Remember and choose life,Joshua 3-5,Psalms 70,"Where in your real, everyday life does today's reading actually touch down?"
167,24,Remember and choose life,Joshua 6-8,Re-read your favorite verse from this week and sit with it,What's one thing God might be inviting you to do differently this week?
168,24,Remember and choose life,Joshua 9-10,Proverbs 14,"If a friend who's never read the Bible asked what this means, how would you say it simply?"
169,25,Courage and God's faithfulness,Joshua 11-13,Re-read your favorite verse from this week and sit with it,What does this show you about who God is — and who you are to Him?
170,25,Courage and God's faithfulness,Joshua 14-16,Psalms 71,Where do you need grace today instead of trying to earn it?
171,25,Courage and God's faithfulness,Joshua 17-19,Re-read your favorite verse from this week and sit with it,"What's one small, doable step you can take today because of what you read?"
172,25,Courage and God's faithfulness,Joshua 20-22,Psalms 72,What feeling or fear does this passage speak to right now?
173,25,Courage and God's faithfulness,Joshua 23-24,Re-read your favorite verse from this week and sit with it,Who in your life needs the encouragement this passage gave you?
174,25,Courage and God's faithfulness,Judges 1-3,Psalms 73,What would change if you actually believed this today?
175,25,Courage and God's faithfulness,Judges 4-6,Re-read your favorite verse from this week and sit with it,Where is God asking for your trust in something you can't control?
176,26,What happens when we drift,Judges 7-9,Psalms 74,What habit or mindset is this passage gently challenging?
177,26,What happens when we drift,Judges 10-12,Re-read your favorite verse from this week and sit with it,How can you carry one verse from today into a real moment this week?
178,26,What happens when we drift,Judges 13-14,Psalms 75,What does honest prayer about this look like for you today?
179,26,What happens when we drift,Judges 15-17,Re-read your favorite verse from this week and sit with it,Where have you seen this truth show up in your own story?
180,26,What happens when we drift,Judges 18-20,Proverbs 15,What's the invitation here — and what's holding you back from saying yes?
181,26,What happens when we drift,"Judges 21, Ruth 1-2",Re-read your favorite verse from this week and sit with it,"Where in your real, everyday life does today's reading actually touch down?"
182,26,What happens when we drift,"Ruth 3-4, 1 Samuel 1",Psalms 76,What's one thing God might be inviting you to do differently this week?
183,27,God looks at the heart,1 Samuel 2-3,Re-read your favorite verse from this week and sit with it,"If a friend who's never read the Bible asked what this means, how would you say it simply?"
184,27,God looks at the heart,1 Samuel 4-6,Psalms 77,What does this show you about who God is — and who you are to Him?
185,27,God looks at the heart,1 Samuel 7-9,Re-read your favorite verse from this week and sit with it,Where do you need grace today instead of trying to earn it?
186,27,God looks at the heart,1 Samuel 10-12,Psalms 78,"What's one small, doable step you can take today because of what you read?"
187,27,God looks at the heart,1 Samuel 13-15,Re-read your favorite verse from this week and sit with it,What feeling or fear does this passage speak to right now?
188,27,God looks at the heart,1 Samuel 16-17,Psalms 79,Who in your life needs the encouragement this passage gave you?
189,27,God looks at the heart,1 Samuel 18-20,Re-read your favorite verse from this week and sit with it,What would change if you actually believed this today?
190,28,God looks at the heart,1 Samuel 21-23,Psalms 80,Where is God asking for your trust in something you can't control?
191,28,God looks at the heart,1 Samuel 24-26,Re-read your favorite verse from this week and sit with it,What habit or mindset is this passage gently challenging?
192,28,God looks at the heart,1 Samuel 27-28,Proverbs 16,How can you carry one verse from today into a real moment this week?
193,28,God looks at the heart,1 Samuel 29-31,Re-read your favorite verse from this week and sit with it,What does honest prayer about this look like for you today?
194,28,God looks at the heart,2 Samuel 1-3,Psalms 81,Where have you seen this truth show up in your own story?
195,28,God looks at the heart,2 Samuel 4-6,Re-read your favorite verse from this week and sit with it,What's the invitation here — and what's holding you back from saying yes?
196,28,God looks at the heart,2 Samuel 7-9,Psalms 82,"Where in your real, everyday life does today's reading actually touch down?"
197,29,A flawed king and God's mercy,2 Samuel 10-11,Re-read your favorite verse from this week and sit with it,What's one thing God might be inviting you to do differently this week?
198,29,A flawed king and God's mercy,2 Samuel 12-14,Psalms 83,"If a friend who's never read the Bible asked what this means, how would you say it simply?"
199,29,A flawed king and God's mercy,2 Samuel 15-17,Re-read your favorite verse from this week and sit with it,What does this show you about who God is — and who you are to Him?
200,29,A flawed king and God's mercy,2 Samuel 18-20,Psalms 84,Where do you need grace today instead of trying to earn it?
201,29,A flawed king and God's mercy,2 Samuel 21-23,Re-read your favorite verse from this week and sit with it,"What's one small, doable step you can take today because of what you read?"
202,29,A flawed king and God's mercy,"2 Samuel 24, 1 Kings 1",Psalms 85,What feeling or fear does this passage speak to right now?
203,29,A flawed king and God's mercy,1 Kings 2-4,Re-read your favorite verse from this week and sit with it,Who in your life needs the encouragement this passage gave you?
204,30,"Wisdom, wealth, and divided hearts",1 Kings 5-7,Proverbs 17,What would change if you actually believed this today?
205,30,"Wisdom, wealth, and divided hearts",1 Kings 8-10,Re-read your favorite verse from this week and sit with it,Where is God asking for your trust in something you can't control?
206,30,"Wisdom, wealth, and divided hearts",1 Kings 11-13,Psalms 86,What habit or mindset is this passage gently challenging?
207,30,"Wisdom, wealth, and divided hearts",1 Kings 14-15,Re-read your favorite verse from this week and sit with it,How can you carry one verse from today into a real moment this week?
208,30,"Wisdom, wealth, and divided hearts",1 Kings 16-18,Psalms 87,What does honest prayer about this look like for you today?
209,30,"Wisdom, wealth, and divided hearts",1 Kings 19-21,Re-read your favorite verse from this week and sit with it,Where have you seen this truth show up in your own story?
210,30,"Wisdom, wealth, and divided hearts","1 Kings 22, 2 Kings 1-2",Psalms 88,What's the invitation here — and what's holding you back from saying yes?
211,31,Consequences and God's patience,2 Kings 3-5,Re-read your favorite verse from this week and sit with it,"Where in your real, everyday life does today's reading actually touch down?"
212,31,Consequences and God's patience,2 Kings 6-7,Psalms 89,What's one thing God might be inviting you to do differently this week?
213,31,Consequences and God's patience,2 Kings 8-10,Re-read your favorite verse from this week and sit with it,"If a friend who's never read the Bible asked what this means, how would you say it simply?"
214,31,Consequences and God's patience,2 Kings 11-13,Psalms 90,What does this show you about who God is — and who you are to Him?
215,31,Consequences and God's patience,2 Kings 14-16,Re-read your favorite verse from this week and sit with it,Where do you need grace today instead of trying to earn it?
216,31,Consequences and God's patience,2 Kings 17-18,Proverbs 18,"What's one small, doable step you can take today because of what you read?"
217,31,Consequences and God's patience,2 Kings 19-21,Re-read your favorite verse from this week and sit with it,What feeling or fear does this passage speak to right now?
218,32,Worship and God's covenant,2 Kings 22-24,Psalms 91,Who in your life needs the encouragement this passage gave you?
219,32,Worship and God's covenant,"2 Kings 25, 1 Chronicles 1-2",Re-read your favorite verse from this week and sit with it,What would change if you actually believed this today?
220,32,Worship and God's covenant,1 Chronicles 3-5,Psalms 92,Where is God asking for your trust in something you can't control?
221,32,Worship and God's covenant,1 Chronicles 6-7,Re-read your favorite verse from this week and sit with it,What habit or mindset is this passage gently challenging?
222,32,Worship and God's covenant,1 Chronicles 8-10,Psalms 93,How can you carry one verse from today into a real moment this week?
223,32,Worship and God's covenant,1 Chronicles 11-13,Re-read your favorite verse from this week and sit with it,What does honest prayer about this look like for you today?
224,32,Worship and God's covenant,1 Chronicles 14-16,Psalms 94,Where have you seen this truth show up in your own story?
225,33,Worship and God's covenant,1 Chronicles 17-19,Re-read your favorite verse from this week and sit with it,What's the invitation here — and what's holding you back from saying yes?
226,33,Worship and God's covenant,1 Chronicles 20-21,Psalms 95,"Where in your real, everyday life does today's reading actually touch down?"
227,33,Worship and God's covenant,1 Chronicles 22-24,Re-read your favorite verse from this week and sit with it,What's one thing God might be inviting you to do differently this week?
228,33,Worship and God's covenant,1 Chronicles 25-27,Proverbs 19,"If a friend who's never read the Bible asked what this means, how would you say it simply?"
229,33,Worship and God's covenant,"1 Chronicles 28-29, 2 Chronicles 1",Re-read your favorite verse from this week and sit with it,What does this show you about who God is — and who you are to Him?
230,33,Worship and God's covenant,2 Chronicles 2-4,Psalms 96,Where do you need grace today instead of trying to earn it?
231,33,Worship and God's covenant,2 Chronicles 5-6,Re-read your favorite verse from this week and sit with it,"What's one small, doable step you can take today because of what you read?"
232,34,Revival and returning to God,2 Chronicles 7-9,Psalms 97,What feeling or fear does this passage speak to right now?
233,34,Revival and returning to God,2 Chronicles 10-12,Re-read your favorite verse from this week and sit with it,Who in your life needs the encouragement this passage gave you?
234,34,Revival and returning to God,2 Chronicles 13-15,Psalms 98,What would change if you actually believed this today?
235,34,Revival and returning to God,2 Chronicles 16-18,Re-read your favorite verse from this week and sit with it,Where is God asking for your trust in something you can't control?
236,34,Revival and returning to God,2 Chronicles 19-20,Psalms 99,What habit or mindset is this passage gently challenging?
